Sat May 14 18:38:48 CDT 2016 DataR12S6p7T0Apr_28_1300.root 
Sat May 14 18:39:10 CDT 2016 DataR12S6p8T0Apr_28_1304.root 
Sat May 14 18:39:32 CDT 2016 DataR12S6p9T0Apr_28_1308.root 
Sat May 14 18:39:54 CDT 2016 DataR13S0p0T0Apr_28_1444.root 
Sat May 14 18:40:32 CDT 2016 DataR13S0p1T0Apr_28_1454.root 
Sat May 14 18:40:56 CDT 2016 DataR13S1p0T0Apr_28_1521.root 
Sat May 14 18:41:18 CDT 2016 DataR13S1p10T0Apr_28_1700.root 
Sat May 14 18:41:41 CDT 2016 DataR13S1p11T0Apr_28_1710.root 
Sat May 14 18:42:04 CDT 2016 DataR13S1p12T0Apr_28_1720.root 
Sat May 14 18:42:26 CDT 2016 DataR13S1p13T0Apr_28_1730.root 
Sat May 14 18:42:49 CDT 2016 DataR13S1p14T0Apr_28_1740.root 
Sat May 14 18:43:13 CDT 2016 DataR13S1p15T0Apr_28_1749.root 
Sat May 14 18:43:36 CDT 2016 DataR13S1p16T0Apr_28_1759.root 
Sat May 14 18:43:58 CDT 2016 DataR13S1p17T0Apr_28_1809.root 
Sat May 14 18:44:35 CDT 2016 DataR13S1p18T0Apr_28_1819.root 
Sat May 14 18:44:58 CDT 2016 DataR13S1p19T0Apr_28_1829.root 
Sat May 14 18:45:40 CDT 2016 DataR13S1p1T0Apr_28_1531.root 
Sat May 14 18:46:02 CDT 2016 DataR13S1p20T0Apr_28_1839.root 
Sat May 14 18:46:24 CDT 2016 DataR13S1p21T0Apr_28_1849.root 
Sat May 14 18:46:47 CDT 2016 DataR13S1p22T0Apr_28_1859.root 
Sat May 14 18:47:11 CDT 2016 DataR13S1p23T0Apr_28_1909.root 
Sat May 14 18:47:33 CDT 2016 DataR13S1p24T0Apr_28_1919.root 
Sat May 14 18:47:56 CDT 2016 DataR13S1p25T0Apr_28_1920.root 
Sat May 14 18:48:00 CDT 2016 DataR13S1p2T0Apr_28_1541.root 
Sat May 14 18:48:23 CDT 2016 DataR13S1p3T0Apr_28_1551.root 
Sat May 14 18:48:45 CDT 2016 DataR13S1p4T0Apr_28_1601.root 
Sat May 14 18:49:08 CDT 2016 DataR13S1p5T0Apr_28_1610.root 
Sat May 14 18:49:30 CDT 2016 DataR13S1p6T0Apr_28_1620.root 
Sat May 14 18:49:53 CDT 2016 DataR13S1p7T0Apr_28_1630.root 
Sat May 14 18:50:16 CDT 2016 DataR13S1p8T0Apr_28_1640.root 
Sat May 14 18:50:41 CDT 2016 DataR13S1p9T0Apr_28_1650.root 
Sat May 14 18:51:05 CDT 2016 DataR14S0p0T0Apr_29_1202.root 
Sat May 14 18:51:26 CDT 2016 DataR14S0p10T0Apr_29_1341.root 
Sat May 14 18:51:49 CDT 2016 DataR14S0p11T0Apr_29_1351.root 
Sat May 14 18:52:12 CDT 2016 DataR14S0p12T0Apr_29_1401.root 
Sat May 14 18:52:34 CDT 2016 DataR14S0p13T0Apr_29_1411.root 
Sat May 14 18:53:11 CDT 2016 DataR14S0p14T0Apr_29_1421.root 
Sat May 14 18:53:33 CDT 2016 DataR14S0p15T0Apr_29_1425.root 
Sat May 14 18:53:44 CDT 2016 DataR14S0p1T0Apr_29_1212.root 
Sat May 14 18:54:06 CDT 2016 DataR14S0p2T0Apr_29_1222.root 
Sat May 14 18:54:29 CDT 2016 DataR14S0p3T0Apr_29_1232.root 
Sat May 14 18:54:56 CDT 2016 DataR14S0p4T0Apr_29_1242.root 
Sat May 14 18:55:18 CDT 2016 DataR14S0p5T0Apr_29_1252.root 
Sat May 14 18:55:46 CDT 2016 DataR14S0p6T0Apr_29_1302.root 
Sat May 14 18:56:11 CDT 2016 DataR14S0p7T0Apr_29_1311.root 
Sat May 14 18:56:40 CDT 2016 DataR14S0p8T0Apr_29_1321.root 
Sat May 14 18:57:04 CDT 2016 DataR14S0p9T0Apr_29_1331.root 
Sat May 14 18:57:43 CDT 2016 DataR14S1p0T0Apr_29_1435.root 
Sat May 14 18:58:22 CDT 2016 DataR14S1p1T0Apr_29_1442.root 
Sat May 14 18:58:51 CDT 2016 DataR14S1p2T0Apr_29_1449.root 
Sat May 14 18:59:16 CDT 2016 DataR14S1p3T0Apr_29_1456.root 
Sat May 14 18:59:52 CDT 2016 DataR14S1p4T0Apr_29_1502.root 
Sat May 14 19:00:22 CDT 2016 DataR14S1p5T0Apr_29_1509.root 
Sat May 14 19:00:48 CDT 2016 DataR14S1p6T0Apr_29_1516.root 
Sat May 14 19:01:28 CDT 2016 DataR14S1p7T0Apr_29_1523.root 
Sat May 14 19:02:00 CDT 2016 DataR14S1p8T0Apr_29_1524.root 
Sat May 14 19:02:13 CDT 2016 DataR14S2p0T0Apr_29_1533.root 
Sat May 14 19:02:38 CDT 2016 DataR14S2p10T0Apr_29_1712.root 
Sat May 14 19:03:06 CDT 2016 DataR14S2p11T0Apr_29_1722.root 
Sat May 14 19:03:34 CDT 2016 DataR14S2p12T0Apr_29_1732.root 
Sat May 14 19:04:03 CDT 2016 DataR14S2p13T0Apr_29_1742.root 
Sat May 14 19:04:30 CDT 2016 DataR14S2p14T0Apr_29_1752.root 
Sat May 14 19:04:59 CDT 2016 DataR14S2p15T0Apr_29_1801.root 
Sat May 14 19:05:28 CDT 2016 DataR14S2p16T0Apr_29_1811.root 
Sat May 14 19:05:57 CDT 2016 DataR14S2p17T0Apr_29_1821.root 
Sat May 14 19:06:27 CDT 2016 DataR14S2p18T0Apr_29_1831.root 
Sat May 14 19:06:52 CDT 2016 DataR14S2p19T0Apr_29_1832.root 
Sat May 14 19:06:55 CDT 2016 DataR14S2p1T0Apr_29_1543.root 
Sat May 14 19:07:22 CDT 2016 DataR14S2p2T0Apr_29_1553.root 
Sat May 14 19:07:54 CDT 2016 DataR14S2p3T0Apr_29_1603.root 
Sat May 14 19:08:24 CDT 2016 DataR14S2p4T0Apr_29_1613.root 
Sat May 14 19:08:52 CDT 2016 DataR14S2p5T0Apr_29_1622.root 
Sat May 14 19:09:25 CDT 2016 DataR14S2p6T0Apr_29_1632.root 
Sat May 14 19:10:15 CDT 2016 DataR14S2p7T0Apr_29_1642.root 
Sat May 14 19:10:45 CDT 2016 DataR14S2p8T0Apr_29_1652.root 
Sat May 14 19:11:11 CDT 2016 DataR14S2p9T0Apr_29_1702.root 
Sat May 14 19:11:37 CDT 2016 DataR15S0p0T0May__2.root 
Sat May 14 19:12:05 CDT 2016 DataR15S0p10T0May__2.root 
Sat May 14 19:12:33 CDT 2016 DataR15S0p11T0May__2.root 
Sat May 14 19:13:00 CDT 2016 DataR15S0p12T0May__2.root 
Sat May 14 19:13:28 CDT 2016 DataR15S0p13T0May__2.root 
Sat May 14 19:13:59 CDT 2016 DataR15S0p14T0May__2.root 
Sat May 14 19:14:30 CDT 2016 DataR15S0p15T0May__2.root 
Sat May 14 19:15:03 CDT 2016 DataR15S0p16T0May__2.root 
Sat May 14 19:15:44 CDT 2016 DataR15S0p17T0May__2.root 
Sat May 14 19:16:18 CDT 2016 DataR15S0p18T0May__2.root 
Sat May 14 19:16:47 CDT 2016 DataR15S0p19T0May__2.root 
Sat May 14 19:17:15 CDT 2016 DataR15S0p1T0May__2.root 
Sat May 14 19:17:52 CDT 2016 DataR15S0p20T0May__2.root 
Sat May 14 19:18:21 CDT 2016 DataR15S0p21T0May__2.root 
Sat May 14 19:18:51 CDT 2016 DataR15S0p22T0May__2.root 
Sat May 14 19:19:18 CDT 2016 DataR15S0p23T0May__2.root 
Sat May 14 19:19:46 CDT 2016 DataR15S0p24T0May__2.root 
Sat May 14 19:20:24 CDT 2016 DataR15S0p25T0May__2.root 
Sat May 14 19:21:00 CDT 2016 DataR15S0p26T0May__2.root 
Sat May 14 19:21:11 CDT 2016 DataR15S0p2T0May__2.root 
Sat May 14 19:21:41 CDT 2016 DataR15S0p3T0May__2.root 
Sat May 14 19:22:10 CDT 2016 DataR15S0p4T0May__2.root 
Sat May 14 19:22:44 CDT 2016 DataR15S0p5T0May__2.root 
Sat May 14 19:23:28 CDT 2016 DataR15S0p6T0May__2.root 
Sat May 14 19:23:55 CDT 2016 DataR15S0p7T0May__2.root 
Sat May 14 19:24:23 CDT 2016 DataR15S0p8T0May__2.root 
